#,english,desc_english,japanese,desc_japanese
1,Stench,"By releasing stench when attacking, this Pokémon may cause the target to flinch.",あくしゅう,相手に技のダメージを与えると、10%の確率でひるませる。／野生のポケモンと出会いにくくなる。
2,Drizzle,The Pokémon makes it rain when it enters a battle.,あめふらし,戦闘に出ると5ターンの間、天気が『あめ』になる。
3,Speed Boost,Its Speed stat is boosted every turn.,かそく,毎ターン、『すばやさ』ランクが1段階ずつ上がる。
4,Battle Armor,Hard armor protects the Pokémon from critical hits.,カブトアーマー,自分への攻撃は急所に当たらない。
5,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",がんじょう,HPが最大の時、『ひんし』状態になるダメージを受けても必ず1残る。また、一撃で『ひんし』になる技『じわれ』『ぜったいれいど』『つのドリル』『ハサミギロチン』を受けない。
6,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",しめりけ,全てのポケモンは技『じばく』『だいばくはつ』『ビックリヘッド』『ミストバースト』が失敗し、また特性『ゆうばく』が無効になる。
7,Limber,Its limber body protects the Pokémon from paralysis.,じゅうなん,『まひ』状態にならない。
8,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,すながくれ,天気が『すなあらし』の時、回避率が上がる。また、『すなあらし』によるダメージを受けない。／フィールドの天気が『すなあらし』の時、野生のポケモンと出会いにくくなる(第7世代まで※未検証)。
9,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",せいでんき,直接攻撃を受けると、30%の確率で相手を『まひ』状態にする。／『でんき』タイプの野生のポケモンと出会いやすくなる。
10,Volt Absorb,Restores HP if hit by an Electric-type move instead of taking damage.,ちくでん,『でんき』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。
11,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,ちょすい,『みず』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。
12,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",どんかん,『メロメロ』『ちょうはつ』『ゆうわく』状態にならない。第8世代からは、相手の特性『いかく』の効果も受けない。
13,Cloud Nine,Eliminates the effects of weather.,ノーてんき,全てのポケモンに対しての天気の影響がなくなる。
14,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,ふくがん,命中率が1.3倍になる。／野生のポケモンが道具を持っている確率が上がる(5%のものが20%になる)
15,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,ふみん,『ねむり』状態にならない。技『ねむる』を使えない。この特性を獲得する前に『ねむり』状態になっていた場合は、『ねむり』状態を回復する。
16,Color Change,The Pokémon's type becomes the type of the move used on it.,へんしょく,技を受けると、その技のタイプになる。
