#,Name,Origins
1,Bulbasaur,bulb - a type of plant; -saur - Greek suffix meaning ‘lizard’;
2,Ivysaur,ivy - a plant; -saur - Greek suffix meaning ‘lizard’;
3,Venusaur,"venus - from Venus Flytrap, a meat-eating plant; -saur - Greek suffix meaning ‘lizard’;"
4,Charmander,char - to burn or singe; salamander - lizard-like amphibian (also a mythical fire-dwelling creature);
5,Charmeleon,char - to burn or singe; chameleon - a species of lizard;
6,Charizard,char - to burn or singe; lizard - a reptile;
7,Squirtle,squirt - to shoot water; turtle - water-based reptile;
8,Wartortle,war - epic battle; tortoise - large reptile with a protective shell; turtle - water-based reptile
9,Blastoise,blast - an explosion; tortoise - large reptile with a protective shell;
10,Caterpie,caterpillar - a species of insect;
11,Metapod,metamorphosis - a transformation; pod - a cocoon;
12,Butterfree,"butterfly - a species of flying insect; free - without limit, now it’s able to fly;"
13,Weedle,worm - an invertebrate; needle - sharp implement;
14,Kakuna,cocoon - a pupal casing made by some insects;
15,Beedrill,bee - a species of flying insect; drill - pointed tool;
16,Pidgey,pigeon - a species of bird;
17,Pidgeotto,pigeon - a species of bird;
18,Pidgeot,pigeon - a species of bird;
19,Rattata,rat - a rodent mammal; rat-a-tat-tat - repeated fast knocking sound;
20,Raticate,rat - a rodent mammal; eradicate - to exterminate;
21,Spearow,spear - pointed weapon; sparrow - a species of bird;
22,Fearow,fear - to be scared of; sparrow - a species of bird;
23,Ekans,snake - a species of reptile; ‘ekans’ spelled backwards is ‘snake’;
24,Arbok,cobra - a type of snake; ‘arbok’ spelled backwards is ‘kobra’;
25,Pikachu,pikapika - Japanese for a ‘sparkle’ sound; chu - Japanese for a ‘squeak’ sound;
26,Raichu,rai - Japanese for ‘thunder’; chu - Japanese for ‘squeak’;
27,Sandshrew,sand - fine debris of rocks; shrew - a rodent;
28,Sandslash,sand - fine debris of rocks; slash - to swipe;
29,Nidoran♀,nidoru - Japanese for ‘needle’; rhino - large African mammal; ♀ - female symbol
30,Nidorina,nidoru - Japanese for ‘needle’; rhino - large African mammal; -a - female suffix
31,Nidoqueen,nidoru - Japanese for ‘needle’; queen - female royalty;
32,Nidoran♂,nidoru - Japanese for ‘needle’; rhino - large African mammal; ♂ - male symbol
33,Nidorino,nidoru - Japanese for ‘needle’; rhino - large African mammal; -o - male suffix
34,Nidoking,nidoru - Japanese for ‘needle’; king - male royalty;
35,Clefairy,"clef - musical symbol; fairy - imp, sprite;"
36,Clefable,"clef - musical symbol; fable - story, fairytale;"
37,Vulpix,vulpine - of or relating to foxes; six - its number of tails;
38,Ninetales,nine - its number of tails; tales - corruption of ‘tails’;
39,Jigglypuff,"jiggle - to shake; puff - inflated, cloud-shaped;"
40,Wigglytuff,wiggle - to shake; tough - hard;
41,Zubat,zubatto - Japanese for a sound of something being hit; bat - cave-dwelling flying mammal;
42,Golbat,gollop - to eat or drink quickly; bat - cave-dwelling flying mammal;
43,Oddish,Odd - Strange or weird; radish - vegetable;
44,Gloom,gloom - depression; bloom - blossoming;
45,Vileplume,vile - nasty; plume - cluster of showy flowers/petals;
46,Paras,parasite - insect/bacterium that feeds off another animal;
47,Parasect,parasite - insect/bacterium that feeds off another animal; insect - a bug;
48,Venonat,venom - poison; gnat - a species of insect;
49,Venomoth,venom - poison; moth - a species of insect;
50,Diglett,dig - remove/excavate earth; -lett - suffix meaning ‘small’;
51,Dugtrio,dug - removed/excavated earth; trio - group of three things;
52,Meowth,meow - the sound a cat makes;
53,Persian,persian - a long-haired breed of cat;
54,Psyduck,psychic - supernatural; duck - a species of bird;
55,Golduck,gold - a color (oddly this applies to Psyduck more); duck - a species of bird;
56,Mankey,"monkey - a species of primate; manky - inferior, worthless;"
57,Primeape,"prime - superior; primate - set of mammals including monkeys, apes, etc; ape - a species of primate"
58,Growlithe,growl - gruff noise made by dogs; lithe - gracefully slender;
59,Arcanine,"arcane - ancient, mysterious; canine - of or relating to dogs;"
60,Poliwag,polliwog - a tadpole; baby frog/toad; wag - tail movement;
61,Poliwhirl,polliwog - a tadpole; baby frog/toad; whirl - circular pattern;
62,Poliwrath,polliwog - a tadpole; baby frog/toad; wrath - anger;
63,Abra,"abracadabra - magical word, sometimes used with ‘alakazam’;"
64,Kadabra,"abracadabra - magical word, sometimes used with ‘alakazam’;"
65,Alakazam,"alakazam - magical word, sometimes used with ‘abracadabra’;"
66,Machop,"macho - strong, muscular; chop - A karate chop;"
67,Machoke,"macho - strong, muscular; choke - To strangle;"
68,Machamp,"macho - strong, muscular; champ - A winner;"
69,Bellsprout,"bell - ringing device (shape); sprout - grow, bloom;"
70,Weepinbell,"weeping - sad, drooping; bell - ringing device (shape);"
71,Victreebel,victory - a win achieved over someone; tree - large plant with a trunk; bell - ringing device (shape)
72,Tentacool,"tentacle - the ‘limb’ of a sea creature; cool - low temperature, impressive;"
73,Tentacruel,tentacle - the ‘limb’ of a sea creature; cruel - mean;
74,Geodude,geo- - of or relating to the Earth; dude - person (usually male);
75,Graveler,gravel - small rocks/pebbles;
76,Golem,golem - stone figure from Jewish folklore;
77,Ponyta,pony - a small horse; ponytail - a hairstyle that resembles a pony’s tail;
78,Rapidash,rapid - fast; ash - remains of a fire; dash - move quickly
79,Slowpoke,slow - not fast; slowpoke - nickname for a slow person;
80,Slowbro,"slow - not fast; bro - friend, pal;"
81,Magnemite,magnet - attracting object; mite - small thing;
82,Magneton,magnet - attracting object; ton - large or heavy object;
83,Farfetch'd,"far-fetched - improbable, unlikely;"
84,Doduo,dodo - extinct bird; duo - group of two;
85,Dodrio,dodo - extinct bird; trio - group of three;
86,Seel,seal - aquatic mammal;
87,Dewgong,dugong - aquatic mammal; dew - moisture often found on grass or plants;
88,Grimer,grime - dirt;
89,Muk,muck - dirt;
90,Shellder,shell - hard cover; shelter - to protect;
91,Cloyster,clam - marine creature; oyster - marine creature; cloister - to confine or seclude oneself
92,Gastly,gas - air-like fluid substance; ghastly - horrifying;
93,Haunter,haunter - a person who scares others;
94,Gengar,doppelgänger - a person’s exact double or ‘shadow’;
95,Onix,onyx - a type of rock;
