1,フシギダネ,Bulbasaur - バルバゾァ,「不思議」＋「種」 【参考】「不思議だね」,「Bulb（球根）」＋「Saurus（恐竜）」＋「Bulbous（球根）」＋「Dinosaur（恐竜）」＋「Saur（ラテン語でトカゲ）」＋「Bulb（電球）」
2,フシギソウ,Ivysaur - アイヴィゾァ,「不思議」＋「草（ソウ）」 【参考】「不思議そう」,「Ivy（蔦）」＋「Dinosaur（恐竜）」＋「Saurus（恐竜）」＋「Saur（ラテン語でトカゲ）」
3,フシギバナ,Venusaur - ヴィーナゾァ,「不思議」＋「花」,「Venus fly trap（ハエトリソウ）」＋「Venom（毒）」＋「Dinosaur（恐竜）」＋「Saurus（恐竜）」＋「Saur（ラテン語でトカゲ）」＋「Ven（ラテン語・神々）」＋「Venus（ビーナス。ローマ神話の愛と美の女神）」【参考】「Venus（金星）」
3,メガフシギバナ,MegaVenusaur - メガヴィーナゾァ,「メガ（ギリシャ語で大きい）」＋「フシギバナ（ポケモン名）」,「Mega（大きい）」＋「Venusaur（ポケモン名）」
4,ヒトカゲ,Charmander - チャーマンダー,「火」＋「トカゲ（爬虫綱有鱗目トカゲ亜目の総称）」,「Char（黒焦げ）」＋「Charcoal（木炭）」＋「Salamander（サラマンダー。火の中に棲む伝説上のトカゲ、サンショウウオ）」
5,リザード,Charmeleon - チャミリオン,「リザード（トカゲ）」,「Char（黒焦げ）」＋「Chameleon（カメレオン。イグアナ下目カメレオン科に分類されるトカゲの総称）」
6,リザードン,Charizard - チャリザード,「リザード（トカゲ）」＋「ドン（古代ギリシャ語で歯。恐竜や怪獣の名前でも使われる）」＋「ドンドン（足音を表す擬音語）」 ＋「ドーン（爆発の様子を表す擬音語）」＋「ドン（スペイン語・ポルトガル語等で貴族や聖職者の男性に使われる尊称。転じて首領、ボス、権力者、実力者）」,「Char（黒焦げ）」＋「Lizard（トカゲ）」＋「リザードン」
6,メガリザードンX,MegaCharizardX - メガチャリザードエックス,「メガ（ギリシャ語で大きい）」＋「リザードン（ポケモン名）」＋「X（ポケモンのソフト名）」,「Mega（大きい）」＋「Charizard（ポケモン名）」＋「X（ポケモンのソフト名）」＋「メガリザードンX」
6,メガリザードンY,MegaCharizardY - メガチャリザードワイ,「メガ（ギリシャ語で大きい）」＋「リザードン（ポケモン名）」＋「Y（ポケモンのソフト名）」,「Mega（大きい）」＋「Charizard（ポケモン名）」＋「Y（ポケモンのソフト名）」＋「メガリザードンY」
7,ゼニガメ,Squirtle - スクァートル,「銭亀（クサガメやニホンイシガメの幼体）」＋「海亀（海に生息する大型のカメの総称）」 ＋「亀（爬虫綱カメ目の総称）」,「Squirt gun（水鉄砲）」＋「Turtle（海亀、アメリカ英語では陸亀も含まれる）」
8,カメール,Wartortle - ウォートータル,「亀（爬虫綱カメ目の総称）」＋「メール（甲羅）」 ＋「海亀（海に生息する大型のカメの総称）」＋「Lサイズ（エルサイズ、ラージサイズ）」＋「噛める」【参考】「テール（尻尾）」＋「タートル（海亀、アメリカ英語では陸亀も含まれる）」＋「ポニーテール（髪をポニーのしっぽのように垂らしたもの）」,「War（闘い）」＋「Warrior（戦士）」＋「Water（水）」＋「Tortoise（陸亀）」＋「Turtle（海亀、アメリカ英語では陸亀も含まれる）」
9,カメックス,Blastoise - ブラストイス,「亀（爬虫綱カメ目の総称）」＋「マックス（最高）」＋「デラックス（高級な）」＋「レクス（ラテン語で王）」＋「ニクス（ヨーロッパのスカンディナヴィア半島等に伝わる水の精霊ネックのドイツ語での呼び名）」＋「ニクス（古代ギリシャ語で爪。恐竜や怪獣の名前でも使われる）」 ＋「メカニック（機械の修理や組み立てをする人）」＋「メカトロニクス（機械工学と電子工学を結合した技術）」＋「海亀（海に生息する大型のカメの総称）」＋「X（アルファベットの一つ、未知数）」＋「エクストラ（特別に、普通以上に）」【参考】「エクス（以前）」,「Blast（爆発）」＋「Tortoise（海亀）」
